date,channelGrouping,sessions
2014-05-01,Organic Search,31
2014-05-01,Paid Search,5
2014-05-01,Referral,8
2014-05-01,Social,7
2014-05-02,Direct,25
2014-05-02,Display,55
2014-05-02,Organic Search,35
2014-05-02,Paid Search,4
2014-05-02,Referral,8
2014-05-02,Social,4
2014-05-03,Direct,12
2014-05-03,Display,27
2014-05-03,Organic Search,23
2014-05-03,Paid Search,4
2014-05-03,Referral,4
2014-05-03,Social,2
2014-05-04,Direct,18
2014-05-04,Display,20
2014-05-04,Organic Search,32
2014-05-04,Paid Search,3
2014-05-04,Referral,7
2014-05-04,Social,5
2014-05-05,(Other),2
2014-05-05,Direct,65
2014-05-05,Display,58
2014-05-05,Organic Search,97
2014-05-05,Paid Search,13
2014-05-05,Referral,11
2014-05-05,Social,84
2014-05-06,Direct,46
2014-05-06,Display,61
2014-05-06,Organic Search,69
2014-05-06,Paid Search,9
2014-05-06,Referral,15
2014-05-06,Social,17
2014-05-07,Direct,45
2014-05-07,Display,77
2014-05-07,Organic Search,107
2014-05-07,Paid Search,12
2014-05-07,Referral,16
2014-05-07,Social,27
2014-05-08,(Other),6
2014-05-08,Direct,34
2014-05-08,Display,67
2014-05-08,Organic Search,85
2014-05-08,Paid Search,20
2014-05-08,Referral,19
2014-05-08,Social,15
2014-05-09,(Other),7
2014-05-09,Direct,24
2014-05-09,Display,36
2014-05-09,Organic Search,64
2014-05-09,Paid Search,10
2014-05-09,Referral,10
2014-05-09,Social,8
2014-05-10,(Other),1
2014-05-10,Direct,18
2014-05-10,Display,25
2014-05-10,Organic Search,27
2014-05-10,Paid Search,5
2014-05-10,Referral,8
2014-05-10,Social,5
2014-05-11,(Other),1
2014-05-11,Direct,23
2014-05-11,Display,24
2014-05-11,Organic Search,41
2014-05-11,Paid Search,5
2014-05-11,Referral,10
2014-05-11,Social,4
2014-05-12,(Other),2
2014-05-12,Direct,93
2014-05-12,Display,65
2014-05-12,Organic Search,99
2014-05-12,Paid Search,13
2014-05-12,Referral,48
2014-05-12,Social,188
2014-05-13,(Other),2
2014-05-13,Direct,50
2014-05-13,Display,66
2014-05-13,Organic Search,121
2014-05-13,Paid Search,8
2014-05-13,Referral,17
2014-05-13,Social,54
2014-05-14,Direct,49
2014-05-14,Display,55
2014-05-14,Organic Search,77
2014-05-14,Paid Search,9
2014-05-14,Referral,28
2014-05-14,Social,71
2014-05-15,(Other),2
2014-05-15,Direct,45
2014-05-15,Display,37
2014-05-15,Organic Search,61
2014-05-15,Paid Search,3
2014-05-15,Referral,15
2014-05-15,Social,50
2014-05-16,(Other),4
2014-05-16,Direct,37
2014-05-16,Display,42
2014-05-16,Organic Search,70
2014-05-16,Paid Search,7
2014-05-16,Referral,12
2014-05-16,Social,26
2014-05-17,Direct,34
2014-05-17,Display,28
2014-05-17,Organic Search,47
2014-05-17,Paid Search,3
2014-05-17,Referral,12
2014-05-17,Social,13
2014-05-18,Direct,14
2014-05-18,Display,34
2014-05-18,Organic Search,33
2014-05-18,Paid Search,1
2014-05-18,Referral,3
2014-05-18,Social,9
2014-05-19,Direct,37
2014-05-19,Display,51
2014-05-19,Organic Search,102
2014-05-19,Paid Search,8
2014-05-19,Referral,19
2014-05-19,Social,34
2014-05-20,(Other),1
2014-05-20,Direct,24
2014-05-20,Display,89
2014-05-20,Organic Search,120
2014-05-20,Paid Search,12
2014-05-20,Referral,15
2014-05-20,Social,18
2014-05-21,(Other),1
2014-05-21,Direct,48
2014-05-21,Display,74
2014-05-21,Organic Search,127
2014-05-21,Paid Search,9
2014-05-21,Referral,24
2014-05-21,Social,34
2014-05-22,(Other),1
2014-05-22,Direct,38
2014-05-22,Display,89
2014-05-22,Organic Search,108
2014-05-22,Paid Search,15
2014-05-22,Referral,32
2014-05-22,Social,22
2014-05-23,(Other),1
2014-05-23,Direct,30
2014-05-23,Display,59
2014-05-23,Organic Search,86
2014-05-23,Paid Search,9
2014-05-23,Referral,23
2014-05-23,Social,19
2014-05-24,(Other),1
2014-05-24,Direct,14
2014-05-24,Display,39
2014-05-24,Organic Search,33
2014-05-24,Paid Search,7
2014-05-24,Referral,10
2014-05-24,Social,6
2014-05-25,(Other),1
2014-05-25,Direct,17
2014-05-25,Display,26
2014-05-25,Organic Search,29
2014-05-25,Paid Search,4
2014-05-25,Referral,9
2014-05-25,Social,8
2014-05-26,(Other),3
2014-05-26,Direct,42
2014-05-26,Display,70
2014-05-26,Organic Search,88
2014-05-26,Paid Search,7
2014-05-26,Referral,18
2014-05-26,Social,33
2014-05-27,Direct,44
2014-05-27,Display,84
2014-05-27,Organic Search,107
2014-05-27,Paid Search,7
2014-05-27,Referral,90
2014-05-27,Social,30
2014-05-28,Direct,32
2014-05-28,Display,87
2014-05-28,Organic Search,88
2014-05-28,Paid Search,10
2014-05-28,Referral,33
2014-05-28,Social,9
2014-05-29,(Other),2
2014-05-29,Direct,35
2014-05-29,Display,71
2014-05-29,Organic Search,91
2014-05-29,Paid Search,13
2014-05-29,Referral,22
2014-05-29,Social,20
2014-05-30,Direct,22
2014-05-30,Display,58
2014-05-30,Organic Search,79
2014-05-30,Paid Search,8
2014-05-30,Referral,11
2014-05-30,Social,6
2014-05-31,Direct,17
2014-05-31,Display,27
2014-05-31,Organic Search,40
2014-05-31,Paid Search,8
2014-05-31,Referral,10
2014-05-31,Social,20
2014-06-01,(Other),3
2014-06-01,Direct,19
2014-06-01,Display,13
2014-06-01,Organic Search,46
2014-06-01,Paid Search,1
2014-06-01,Referral,7
2014-06-01,Social,18
2014-06-02,(Other),1
2014-06-02,Direct,26
2014-06-02,Display,45
2014-06-02,Organic Search,82
2014-06-02,Paid Search,11
2014-06-02,Referral,15
2014-06-02,Social,13
2014-06-03,Direct,38
2014-06-03,Display,54
2014-06-03,Organic Search,100
2014-06-03,Paid Search,10
2014-06-03,Referral,21
2014-06-03,Social,12
2014-06-04,(Other),1
2014-06-04,Direct,26
2014-06-04,Display,44
2014-06-04,Organic Search,104
2014-06-04,Paid Search,7
2014-06-04,Referral,21
2014-06-04,Social,16
2014-06-05,Direct,36
2014-06-05,Display,43
2014-06-05,Organic Search,76
2014-06-05,Paid Search,3
2014-06-05,Referral,19
2014-06-05,Social,9
2014-06-06,(Other),2
2014-06-06,Direct,31
2014-06-06,Display,41
