date,campaign,impressions,adClicks,adCost,cpc
2016-09-08,MAD - CURSO - APACHE FLINK,3.0,0.0,0.0,0.0
2016-09-08,MAD - CURSO - ESTADISTICA,31.0,1.0,1.1,1.1
2016-09-08,MAD - CURSO - HADOOP & SPARK,78.0,0.0,0.0,0.0
2016-09-08,MAD - CURSO - MK CONTENIDO PERIODISTAS,24.0,5.0,8.21,1.642
2016-09-08,MAD - CURSO - OPEN STACK,39.0,2.0,1.19,0.595
2016-09-08,MAD - CURSO - PROGRAMACION,7.0,1.0,0.99,0.99
2016-09-08,MAD - CURSO - R,55.0,0.0,0.0,0.0
2016-09-08,MAD - CURSO - SOLUCIONES NEGOCIO,10.0,0.0,0.0,0.0
2016-09-08,MAD - MASTER - ANALITICA WEB,22.0,2.0,17.86,8.93
2016-09-08,MAD - MASTER - BIG DATA,19.0,1.0,14.15,14.15
2016-09-08,MAD - MASTER - DATA SCIENCE,3.0,1.0,20.47,20.47
2016-09-08,MAD - MASTER - MARKETING ONLINE,7.0,1.0,17.63,17.63
2016-09-08,MAD - MASTER - SEO y SEM,32.0,3.0,4.89,1.63
2016-09-08,MAD - MASTER - UX,7.0,3.0,22.3,7.433333333333333
2016-09-08,NAC - MASTER - ANALITICA WEB,6.0,0.0,0.0,0.0
2016-09-08,NAC - MASTER - BIG DATA,13.0,1.0,9.84,9.84
2016-09-08,NAC - MASTER - DATA SCIENCE,8.0,0.0,0.0,0.0
2016-09-08,NAC - MASTER - MARKETING ONLINE,14.0,0.0,0.0,0.0
2016-09-08,NAC - MASTER - SEO y SEM,23.0,1.0,1.28,1.28
2016-09-08,NAC - MASTER - UX,2.0,0.0,0.0,0.0
2016-09-08,VAL - MASTER - SEO y SEM,1.0,1.0,4.69,4.69
2016-09-09,0 - MARCA,38.0,8.0,1.02,0.1275
2016-09-09,0 - MARCA BCN,1.0,1.0,0.05,0.05
2016-09-09,ALI - MASTER - MARKETING ONLINE,12.0,1.0,5.16,5.16
2016-09-09,AND - MASTER - ANALITICA WEB,7.0,0.0,0.0,0.0
2016-09-09,AND - MASTER - MARKETING ONLINE,16.0,0.0,0.0,0.0
2016-09-09,AND - MASTER - SEO y SEM,43.0,0.0,0.0,0.0
2016-09-09,BCN - MASTER - ANALITICA WEB,16.0,1.0,6.7,6.7
2016-09-09,BCN - MASTER - MARKETING ONLINE,47.0,3.0,20.83,6.943333333333333
2016-09-09,BCN - MASTER - SEO y SEM,51.0,1.0,2.37,2.37
2016-09-09,BCN - MASTER - UX,12.0,1.0,2.32,2.32
2016-09-09,MAD - CURSO - APACHE FLINK,11.0,0.0,0.0,0.0
2016-09-09,MAD - CURSO - ESTADISTICA,43.0,0.0,0.0,0.0
2016-09-09,MAD - CURSO - HADOOP & SPARK,22.0,1.0,1.2,1.2
2016-09-09,MAD - CURSO - MK CONTENIDO PERIODISTAS,16.0,2.0,2.19,1.095
2016-09-09,MAD - CURSO - OPEN STACK,1.0,1.0,1.09,1.09
2016-09-09,MAD - CURSO - PROGRAMACION,42.0,1.0,1.2,1.2
2016-09-09,MAD - CURSO - R,45.0,0.0,0.0,0.0
2016-09-09,MAD - CURSO - SOLUCIONES NEGOCIO,8.0,1.0,0.57,0.57
2016-09-09,MAD - MASTER - ANALITICA WEB,24.0,0.0,0.0,0.0
2016-09-09,MAD - MASTER - BIG DATA,41.0,1.0,16.53,16.53
2016-09-09,MAD - MASTER - DATA SCIENCE,18.0,2.0,23.99,11.995
2016-09-09,MAD - MASTER - MARKETING ONLINE,41.0,1.0,7.86,7.86
2016-09-09,MAD - MASTER - SEO y SEM,26.0,1.0,11.59,11.59
2016-09-09,MAD - MASTER - UX,32.0,2.0,18.17,9.085
2016-09-09,NAC - MASTER - ANALITICA WEB,19.0,0.0,0.0,0.0
2016-09-09,NAC - MASTER - BIG DATA,37.0,0.0,0.0,0.0
2016-09-09,NAC - MASTER - DATA SCIENCE,15.0,0.0,0.0,0.0
2016-09-09,NAC - MASTER - MARKETING ONLINE,74.0,0.0,0.0,0.0
2016-09-09,NAC - MASTER - SEO y SEM,29.0,2.0,9.56,4.78
2016-09-09,NAC - MASTER - UX,28.0,1.0,1.86,1.86
2016-09-09,VAL - MASTER - SEO y SEM,27.0,1.0,3.18,3.18
2016-09-10,0 - MARCA,8.0,3.0,0.03,0.01
2016-09-10,0 - MARCA BCN,1.0,0.0,0.0,0.0
