date,ciudad,programa,nombre,users,newUsers,bounces,impressions,adClicks,adCost,cpc,ctr
2017-01-25,MAD,MASTER,DATA SCIENCE,8.0,8.0,4.0,104.0,9.0,58.8,6.533333333333333,0.09
2017-01-25,MAD,MASTER,MARKETING ONLINE,3.0,3.0,2.0,15.0,3.0,24.62,8.206666666666667,0.2
2017-01-25,MAD,MASTER,SEO y SEM,10.0,9.0,7.0,119.0,10.0,60.33,6.033,0.08
2017-01-25,MAD,MASTER,UX,2.0,1.0,2.0,38.0,2.0,14.97,7.485,0.05
2017-01-25,NAC,MASTER,ANALITICA WEB,2.0,1.0,1.0,30.0,2.0,6.47,3.235,0.07
2017-01-25,NAC,MASTER,BIG DATA,2.0,1.0,2.0,102.0,3.0,9.67,3.2233333333333336,0.03
2017-01-25,NAC,MASTER,SEO y SEM,4.0,4.0,4.0,152.0,4.0,17.62,4.405,0.03
2017-01-25,NAC,MASTER,UX,5.0,4.0,4.0,85.0,6.0,30.78,5.13,0.07
2017-01-26,BCN,MASTER,ANALITICA WEB,1.0,0.0,0.0,13.0,1.0,6.58,6.58,0.08
2017-01-26,BCN,MASTER,MARKETING ONLINE,1.0,1.0,1.0,11.0,1.0,7.49,7.49,0.09
2017-01-26,BCN,MASTER,SEO y SEM,2.0,2.0,2.0,28.0,2.0,7.64,3.82,0.07
2017-01-26,BCN,MASTER,UX,1.0,1.0,1.0,16.0,1.0,5.04,5.04,0.06
2017-01-26,MAD,CURSO,ESTADISTICA,4.0,4.0,2.0,52.0,5.0,5.07,1.014,0.1
2017-01-26,MAD,CURSO,PROGRAMACION,4.0,4.0,2.0,26.0,4.0,11.34,2.835,0.15
2017-01-26,MAD,CURSO,SOLUCIONES NEGOCIO,2.0,2.0,1.0,18.0,2.0,2.0,1.0,0.11
2017-01-26,MAD,MASTER,ANALITICA WEB,2.0,2.0,2.0,13.0,2.0,28.1,14.05,0.15
2017-01-26,MAD,MASTER,BIG DATA,2.0,2.0,4.0,47.0,4.0,46.4,11.6,0.09
2017-01-26,MAD,MASTER,DATA SCIENCE,5.0,5.0,3.0,100.0,5.0,45.02,9.004,0.05
