path,total_conversions,total_conversion_value
SEM Marca > Directo > Orgánico No Home > Directo,6,405
SEM Marca > Directo > Orgánico No Home > Directo > Directo,6,674
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,6,745
Referencia > Directo > Directo > Directo > Directo,6,315
Referencia > Orgánico No Home,6,446.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Referencia,6,426.5
Directo > Directo > Directo > Directo > Orgánico Home,6,604
Directo > Directo > Directo > Directo > Orgánico Home > Directo,6,495
Directo > Directo > Directo > Directo > Orgánico Home > Directo > Directo,6,420.5
Directo > Directo > Orgánico Home > Directo > Directo > Directo > Directo,6,506.5
Directo > Directo > Orgánico No Home > Directo > Directo,6,331
Directo > Referencia > Directo > Directo,6,484
Directo > Orgánico Home > Directo > Directo > Directo > Directo > Directo,6,391
Directo > Orgánico Home > Referencia,6,543
Recuperación del Carrito > Directo > Directo,6,454
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Referencia,6,359.5
Orgánico Home > Email Newsletter > Orgánico Home,6,329.5
Orgánico Home > Orgánico No Home,6,627
Social de Pago > Orgánico Home,6,309
Email Newsletter > Directo > Referencia,6,502
Email Newsletter > Directo > Directo > Orgánico No Home,6,410
Email Newsletter > Directo > Email Newsletter > Directo > Directo > Directo > Directo,6,583
Email Newsletter > Directo > Email Newsletter > Orgánico No Home,6,336
Email Newsletter > SEM Marca > Orgánico Home,6,346
Email Newsletter > Email Newsletter > Orgánico Home,6,291
Social Orgánico > Directo > Directo > Directo,6,377
Social Orgánico > Directo > Directo > Directo > Directo,6,603
SEM Marca > SEM Marca > SEM Marca > Directo > Directo,5,299
SEM Marca > SEM Marca > SEM Marca > Directo > Directo > Directo,5,307
SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo,5,596
SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,397
SEM Marca > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,612
SEM Marca > Directo > Orgánico Home > Directo > Directo > Directo,5,187
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,250
SEM Marca > Email Newsletter > Directo,5,186
Referencia > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Social Orgánico > Directo,5,253
Directo > Directo > Recuperación del Carrito > Directo,5,308
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,522
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,273.8
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,379
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,5,715
